"Refresh","Rafraîchir"
"%1 log(s) have been added for website %2.","%1 log(s) ont été ajoutés pour la boutique %2."
"Unknown Website","Boutique inconnue"
"Sucuri Logs","Sucuri Logs"
"Please check the configuration settings","Merci de vérifier la configuration"
"Could not save the log: %1","Impossible d'enregistrer le log: %1"
"The API request failed. Please check the configuration settings.","La requête API a échoué. Merci de vérifier la configuration."
"Flush Sucuri Cache for %1","Purger le cache Sucuri pour %1"
"Clear the Website Firewall cache","Purger le cache du pare-feu du site web"
"Sucuri","Sucuri"
"Logs","Logs"
"API","API"
"URL","URL"
"API Key (API_KEY)","API Key (API_KEY)"
"API Secret (API_SECRET)","API Secret (API_SECRET)"
"Cron","Cron"
"Enabled","Activé"
"ID","ID"
"Date","Date"
"Request Date","Date requête"
"Request Time","Heure requête"
"IP","IP"
"Method","Méthode"
"Path","Chemin"
"Protocol","Protocole"
"Status","Statut"
"User Agent","User Agent"
"Is Allowed","Autorisé"
"Is Blocked","Bloqué"
"Reason","Motif"
"Country","Pays"
"Refresh Logs","Actualiser les logs"
"Log retention (days)","Conservation des logs (en jours)"
"Automatically refresh logs every hour","Actualiser automatiquement les logs toutes les heures"
"Keep logs for the specified number of days. Enter 0 for unlimited duration.","Conserver les logs pendant le nombre de jours spécifié. Indiquer 0 pour un temps illimité."
